TABELA CBENEF X CST PARA OS BENEFÍCIOS FISCAIS VIGENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cbenef,Aplica ao Simples Nacional,"CST 00 
(Tributada integralmente)","CST 10 
(Tributada e com cobrança do ICMS por substituição tributária)","CST 20 
(Com redução de base de cálculo)","CST 30 
(Isenta ou não tributada e com cobrança do ICMS por substituição tributária)","CST 40 
(Isenta)","CST 41 
(Não tributada)","CST 50 
(Suspensão)","CST 51 
(Diferimento)","CST 60 
(ICMS cobrado anteriormente por substituição tributária)","CST 70 
(Com redução de base de cálculo e cobrança do ICMS por substituição tributária)","CST 90 
(Outras)",DATA INÍCIO,DT FINAL,DESCRIÇÃO: SETORES/PROGRAMAS/BENEFICIÁRIOS,CAPITULAÇÃO LEGAL,OBSERVAÇÃO,,,,,,,,,,,,,,,
ES100050,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,"Operações de entrada de mercadoria importadas para a industrialização de componentes e derivados de sangue, nos casos que especifica.","Art. 5º, XLVII do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 24/89
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100051,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,"Aquisições de equipamentos e acessórios destinados às instituições que atendam aos portadores de deficiência física, auditiva, mental, visual e múltipla.","Art. 5º, XLVIII do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 38/91
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100052,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Saída interna de produtos resultantes do trabalho de reeducação dos detentos, promovida pelos estabelecimentos do sistema penitenciário deste Estado.","Art. 5º, XLIX do RICMS/ES
Convênio ICMS 85/94",Isenção do ICMS,,,,,,,,,,,,,,,
ES100053,SIM,,,,SIM,SIM,,,,,,,2010-05-13 00:00:00,,"Saída de obra de arte, nas condições especificadas.","Art. 5º, L do RICMS/ES
Convênio ICMS 59/91
Convênio ICMS 151/94",Isenção do ICMS,,,,,,,,,,,,,,,
ES100054,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,"Operação de importação de aparelhos, máquinas, equipamentos e instrumentos médico hospitalares ou técnico-científicos laboratoriais, sem similar produzido no país.","Art. 5º, LI do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 104/89
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100055,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,"Operação de importação de equipamento médicohospitalar, sem similar produzido no País, realizada por clínica ou hospital que se comprometa a compensar este benefício.","Art. 5º, LII do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 05/98
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100056,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Saída interna de mudas de plantas, exceto as ornamentais.","Art. 5º, LIV do RICMS/ES
Convênio ICMS 54/91",Isenção do ICMS,,,,,,,,,,,,,,,
ES100057,SIM,,,,SIM,SIM,,,,,,,2021-04-01 00:00:00,2025-12-31 00:00:00,"Saída interna de insumos com destino à apicultura, à aquicultura, à avicultura, à cunicultura, à ranicultura e à sericultura.","Art. 5º, LV do RICMS/ES
Convênio ICMS 100/97
Convênio ICMS 26/21",Isenção do ICMS,,,,,,,,,,,,,,,
ES100058,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Operação de importação, por órgão da administração pública direta, suas autarquias e fundações, de mercadorias destinadas a integrar seu ativo fixo ou para seu uso ou consumo.","Art. 5º, LVII do RICMS/ES
Convênio ICMS 48/93",Isenção do ICMS,,,,,,,,,,,,,,,
ES100059,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,Saída de produtos que divulguem atividades da Fundação Pró-Tamar e do Programa Nacional de Proteção às Tartarugas Marinhas.,"Art. 5º, LVIII do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 55/92
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
