NCM,Início de vigência da NCM,Fim de vigência da NCM,uTrib para uso em operações de Exportação (Abreviatura),Descrição da uTrib utilizada em operações de Exportação,
03048700,2016-01-01 00:00:00,,KG,Quilograma,
03048810,2017-01-01 00:00:00,,KG,Quilograma,
03048890,2017-01-01 00:00:00,,KG,Quilograma,
03048910,2016-01-01 00:00:00,,KG,Quilograma,
03048920,2016-01-01 00:00:00,,KG,Quilograma,
03048930,2016-01-01 00:00:00,,KG,Quilograma,
03048990,2016-01-01 00:00:00,,KG,Quilograma,
03049100,2016-01-01 00:00:00,,KG,Quilograma,
03049211,2016-01-01 00:00:00,,KG,Quilograma,
03049212,2016-01-01 00:00:00,,KG,Quilograma,
03049219,2016-01-01 00:00:00,,KG,Quilograma,
03049221,2016-01-01 00:00:00,,KG,Quilograma,
03049222,2016-01-01 00:00:00,,KG,Quilograma,
03049229,2016-01-01 00:00:00,,KG,Quilograma,
03049300,2016-01-01 00:00:00,,KG,Quilograma,
03049400,2016-01-01 00:00:00,,KG,Quilograma,
03049500,2016-01-01 00:00:00,,KG,Quilograma,
03049600,2017-01-01 00:00:00,,KG,Quilograma,
03049700,2017-01-01 00:00:00,,KG,Quilograma,
03049900,2016-01-01 00:00:00,,KG,Quilograma,
03052010,2023-04-01 00:00:00,,KG,Quilograma,
03052090,2023-04-01 00:00:00,,KG,Quilograma,
03053100,2016-01-01 00:00:00,,KG,Quilograma,
03053210,2016-01-01 00:00:00,,KG,Quilograma,
03053220,2016-01-01 00:00:00,,KG,Quilograma,
03053230,2017-01-01 00:00:00,,KG,Quilograma,
03053290,2016-01-01 00:00:00,,KG,Quilograma,
03053900,2017-01-01 00:00:00,,KG,Quilograma,
03054100,2016-01-01 00:00:00,,KG,Quilograma,
03054200,2016-01-01 00:00:00,,KG,Quilograma,
03054300,2016-01-01 00:00:00,,KG,Quilograma,
03054400,2016-01-01 00:00:00,,KG,Quilograma,
03054910,2016-01-01 00:00:00,,KG,Quilograma,
03054920,2016-01-01 00:00:00,,KG,Quilograma,
03054990,2016-01-01 00:00:00,,KG,Quilograma,
03055100,2016-01-01 00:00:00,,KG,Quilograma,
03055200,2017-01-01 00:00:00,,KG,Quilograma,
03055310,2017-01-01 00:00:00,,KG,Quilograma,
03055390,2017-01-01 00:00:00,,KG,Quilograma,
03055400,2017-01-01 00:00:00,,KG,Quilograma,
03055900,2017-01-01 00:00:00,,KG,Quilograma,
03056100,2016-01-01 00:00:00,,KG,Quilograma,
03056200,2016-01-01 00:00:00,,KG,Quilograma,
03056300,2016-01-01 00:00:00,,KG,Quilograma,
03056400,2016-01-01 00:00:00,,KG,Quilograma,
03056910,2016-01-01 00:00:00,,KG,Quilograma,
03056990,2016-01-01 00:00:00,,KG,Quilograma,
03057100,2016-01-01 00:00:00,,KG,Quilograma,
03057200,2016-01-01 00:00:00,,KG,Quilograma,
03057900,2016-01-01 00:00:00,,KG,Quilograma,
03061110,2016-01-01 00:00:00,,KG,Quilograma,
03061190,2016-01-01 00:00:00,,KG,Quilograma,
03061200,2016-01-01 00:00:00,,KG,Quilograma,
03061400,2016-01-01 00:00:00,,KG,Quilograma,
03061500,2016-01-01 00:00:00,,KG,Quilograma,
03061610,2016-01-01 00:00:00,,KG,Quilograma,
03061690,2016-01-01 00:00:00,,KG,Quilograma,
03061710,2016-01-01 00:00:00,,KG,Quilograma,
03061790,2016-01-01 00:00:00,,KG,Quilograma,
03061910,2016-01-01 00:00:00,,KG,Quilograma,
03061990,2016-01-01 00:00:00,,KG,Quilograma,
03063100,2017-01-01 00:00:00,,KG,Quilograma,
03063200,2017-01-01 00:00:00,,KG,Quilograma,
03063300,2017-01-01 00:00:00,,KG,Quilograma,
03063400,2017-01-01 00:00:00,,KG,Quilograma,
03063500,2017-01-01 00:00:00,,KG,Quilograma,
03063600,2017-01-01 00:00:00,,KG,Quilograma,
03063910,2017-01-01 00:00:00,,KG,Quilograma,
03063990,2017-01-01 00:00:00,,KG,Quilograma,
03069100,2017-01-01 00:00:00,,KG,Quilograma,
03069200,2017-01-01 00:00:00,,KG,Quilograma,
03069300,2017-01-01 00:00:00,,KG,Quilograma,
03069400,2017-01-01 00:00:00,,KG,Quilograma,
03069500,2017-01-01 00:00:00,,KG,Quilograma,
03069910,2017-01-01 00:00:00,,KG,Quilograma,
03069990,2017-01-01 00:00:00,,KG,Quilograma,
03071100,2016-01-01 00:00:00,,KG,Quilograma,
03071200,2017-01-01 00:00:00,,KG,Quilograma,
03071900,2016-01-01 00:00:00,,KG,Quilograma,
03072100,2016-01-01 00:00:00,,KG,Quilograma,
03072200,2017-01-01 00:00:00,,KG,Quilograma,
03072900,2016-01-01 00:00:00,,KG,Quilograma,
03073100,2016-01-01 00:00:00,,KG,Quilograma,
